"ensembl_gene_id","hgnc_symbol","gene_biotype","Coreness","Degree","Degree_norm","Betweenness","Betweenness_norm","Eigenvector","Closeness"
"ENSG00000000419","DPM1","protein_coding",15,15,0.0037073652990608,21.8952989370253,2.67569415712206e-06,0.0683601744309117,0.25418165751436
"ENSG00000000938","FGR","protein_coding",3,3,0.00074147305981216,2.50726875793923,3.0639839105408e-07,0.009724041178178,0.233205930044012
"ENSG00000001497","LAS1L","protein_coding",2,2,0.000494315373208107,0.665046370268839,8.12713583980563e-08,0.00917001455882509,0.229917213816729
"ENSG00000001617","SEMA3F","protein_coding",10,10,0.00247157686604053,18.5043229222173,2.2613031622396e-06,0.0518634529595841,0.255212624374168
"ENSG00000001630","CYP51A1","protein_coding",30,35,0.00865051903114187,5995.54863266075,0.000732680311481101,0.0945178560181321,0.26805564800639
"ENSG00000002586","CD99","protein_coding",1,1,0.000247157686604053,0,0,0.0025937490585091,0.212956107879429
"ENSG00000002822","MAD1L1","protein_coding",20,21,0.00519031141868512,78.3147907928174,9.57038443472592e-06,0.0885435596656827,0.260714748154862
"ENSG00000002834","LASP1","protein_coding",1,1,0.000247157686604053,0,0,0,0.0841975411892615
"ENSG00000002933","TMEM176A","protein_coding",7,7,0.00173010380622837,93.2201397795701,1.13918784142522e-05,0.0156259137152981,0.237511058684754
"ENSG00000003137","CYP26B1","protein_coding",5,5,0.00123578843302027,8.31775021230591,1.01646274423926e-06,3.1266286547651e-17,0.104545808562008
"ENSG00000003393","ALS2","protein_coding",25,28,0.0069204152249135,1663.48807741911,0.000203284976468891,0.0683552269996377,0.252334106147002
"ENSG00000003402","CFLAR","protein_coding",11,11,0.00271873455264459,4.68539676675236,5.72574450280655e-07,0.0555940233696831,0.249488879251595
"ENSG00000003987","MTMR7","protein_coding",16,16,0.00395452298566485,9.09223028134377,1.11110734358875e-06,0.0593166298868168,0.249628068435408
"ENSG00000004399","PLXND1","protein_coding",6,6,0.00148294611962432,4.61947750801431,5.64518850037218e-07,0.0287292387294432,0.242619592722015
"ENSG00000004487","KDM1A","protein_coding",55,66,0.0163124073158675,1225.52749291685,0.000149764420281332,0.297420698852802,0.281038453485938
"ENSG00000004660","CAMKK1","protein_coding",1,1,0.000247157686604053,0,0,3.46400801323336e-17,0.104250802526665
"ENSG00000004766","VPS50","protein_coding",55,348,0.0860108749382106,49846.7580250449,0.00609147559860674,0.746720844888384,0.286721253114988
"ENSG00000004779","NDUFAB1","protein_coding",9,12,0.00296589223924864,398.320221906017,4.86763434234384e-05,5.58812120343929e-15,0.115968322534197
"ENSG00000004897","CDC27","protein_coding",55,313,0.0773603559070687,22899.3225914113,0.0027983899117395,0.690933425730149,0.282874402922169
"ENSG00000004961","HCCS","protein_coding",1,1,0.000247157686604053,0,0,1.2884117760346e-05,0.178890320287859
"ENSG00000004975","DVL2","protein_coding",20,22,0.00543746910528917,130.019184790664,1.58888706684823e-05,0.056676837431059,0.253669291338583
"ENSG00000005020","SKAP2","protein_coding",7,7,0.00173010380622837,41.5395893380827,5.076305959596e-06,0.0179533350779206,0.229589509692132
"ENSG00000005175","RPAP3","protein_coding",32,38,0.00939199209095403,4975.3365228139,0.000608006262079277,0.150692068484615,0.257431438982292
"ENSG00000005187","ACSM3","protein_coding",15,16,0.00395452298566485,83.1854295740412,1.01655962089911e-05,0.0469914765199929,0.252825213460573
"ENSG00000005189","REXO5","protein_coding",12,12,0.00296589223924864,53.3608383298453,6.52091043602347e-06,0.0587130244840129,0.253925215965698
"ENSG00000005194","CIAPIN1","protein_coding",16,16,0.00395452298566485,4.27306018862289,5.22185251391799e-07,0.0839603778260267,0.250326350469323
"ENSG00000005206","SPPL2B","protein_coding",4,4,0.000988630746416213,1.87526817606962,2.29165361759985e-07,0.0101061807183229,0.229367203964231
"ENSG00000005243","COPZ2","protein_coding",19,19,0.00469599604547701,82.6432887396449,1.00993444045693e-05,0.0496981717021824,0.24867234778313
"ENSG00000005249","PRKAR2B","protein_coding",47,88,0.0217498764211567,4899.11578943454,0.000598691779936728,0.22161116927877,0.267042440318302
"ENSG00000005469","CROT","protein_coding",15,15,0.0037073652990608,104.731412093841,1.27986024859775e-05,0.0734470435547916,0.258124479200051
"ENSG00000005486","RHBDD2","protein_coding",7,9,0.00222441917943648,273.64374165349,3.34403728755273e-05,2.3132873032892e-17,0.101704760702109
"ENSG00000005810","MYCBP2","protein_coding",52,59,0.0145823035096391,2832.72229833517,0.000346170131049809,0.246862296670043,0.277724137931035
"ENSG00000005882","PDK2","protein_coding",2,2,0.000494315373208107,20.209376931778,2.4696676638653e-06,0,0.100894445418786
"ENSG00000006025","OSBPL7","protein_coding",17,17,0.00420168067226891,47.3353307675866,5.7845690220788e-06,0.0603459446789501,0.249875899726979
"ENSG00000006210","CX3CL1","protein_coding",1,1,0.000247157686604053,0,0,1.8455496784945e-18,0.100886862411063
"ENSG00000006530","AGK","protein_coding",50,205,0.0506673257538309,43658.0235255639,0.00533518719222927,0.345700631377089,0.270813718897108
"ENSG00000006607","FARP2","protein_coding",5,5,0.00123578843302027,0.378856202656589,4.62977614853888e-08,0.029513798690839,0.241702178740772
"ENSG00000006634","DBF4","protein_coding",20,20,0.00494315373208107,130.043753314638,1.58918730415596e-05,0.0859669156927201,0.260024536708207
"ENSG00000006704","GTF2IRD1","protein_coding",20,20,0.00494315373208107,117.52212058096,1.43616788368815e-05,0.105515379881156,0.266635767728266
"ENSG00000006715","VPS41","protein_coding",55,105,0.0259515570934256,1666.62987395381,0.000203668916722685,0.356953961778409,0.277590128903288
"ENSG00000006837","CDKL3","protein_coding",1,1,0.000247157686604053,0,0,3.06620802190846e-13,0.126254075746175
"ENSG00000007168","PAFAH1B1","protein_coding",45,52,0.0128521997034108,222.489875712948,2.71891633987815e-05,0.183276137941685,0.263082249951003
"ENSG00000007255","TRAPPC6A","protein_coding",1,1,0.000247157686604053,0,0,0.00380366582491199,0.220391856392294
"ENSG00000007384","RHBDF1","protein_coding",23,23,0.00568462679189323,59.1902904797727,7.23329308499508e-06,0.114171881798159,0.259605466735431
"ENSG00000007866","TEAD3","protein_coding",2,2,0.000494315373208107,0,0,0.00647455603385839,0.222437030490499
"ENSG00000008056","SYN1","protein_coding",4,6,0.00148294611962432,5214.68722636465,0.000637255886888502,1.40687126574902e-18,0.101249591431373
"ENSG00000008086","CDKL5","protein_coding",10,10,0.00247157686604053,3.14135830624291,3.83886700502064e-07,0.0425639566141122,0.241528219276675
"ENSG00000008118","CAMK1G","protein_coding",1,1,0.000247157686604053,0,0,3.38953331776127e-16,0.111089655172414
"ENSG00000008128","CDK11A","protein_coding",25,26,0.00642609985170539,320.592521582719,3.91777038204919e-05,0.0858498716912428,0.260007747933884
"ENSG00000008130","NADK","protein_coding",2,2,0.000494315373208107,0.071152724455947,8.69515093800124e-09,0.0136750430730053,0.236146132645282
"ENSG00000008277","ADAM22","protein_coding",55,320,0.0790904597132971,70012.3342213439,0.00855579063530143,0.666620411779724,0.28725301376703
"ENSG00000008283","CYB561","protein_coding",9,10,0.00247157686604053,87.9622711946499,1.07493455905602e-05,9.94320547073427e-15,0.115555683089902
"ENSG00000008441","NFIX","protein_coding",43,58,0.0143351458230351,2172.51505271448,0.000265490133271394,0.183047085063986,0.263478147081916
"ENSG00000008735","MAPK8IP2","protein_coding",2,2,0.000494315373208107,1.02791506738875,1.25615381993203e-07,2.31096390799043e-17,0.101461325270849
"ENSG00000008869","HEATR5B","protein_coding",55,106,0.0261987147800297,4007.01045094796,0.000489672896541192,0.3046420929327,0.275973135964912
"ENSG00000009830","POMT2","protein_coding",1,1,0.000247157686604053,0,0,0.0055868660206243,0.223387141509957
"ENSG00000009844","VTA1","protein_coding",55,190,0.0469599604547701,8629.90506205397,0.00105460933040785,0.442730045037019,0.274843024843025
"ENSG00000010017","RANBP9","protein_coding",38,43,0.0106277805239743,423.14814923075,5.17104166401281e-05,0.12690247615021,0.259404792579232
"ENSG00000010256","UQCRC1","protein_coding",5,5,0.00123578843302027,120.361219623973,1.47086282319424e-05,9.81799183124041e-15,0.115452981651376
"ENSG00000010282","HHATL","protein_coding",7,7,0.00173010380622837,19.6299654316336,2.39886123322625e-06,0.0177382220547245,0.237861783815712
"ENSG00000010404","IDS","protein_coding",1,1,0.000247157686604053,0,0,3.33112096915207e-14,0.12241609922179
"ENSG00000010626","LRRC23","protein_coding",10,10,0.00247157686604053,24.6952054411739,3.01785406529166e-06,0.0293213368709288,0.245429058995612
"ENSG00000010818","HIVEP2","protein_coding",4,4,0.000988630746416213,1.1466549633635,1.40125877912473e-07,0.0139072072629716,0.237946112030253
"ENSG00000011007","ELOA","protein_coding",1,1,0.000247157686604053,0,0,0.00212933159827065,0.211579887563705
"ENSG00000011021","CLCN6","protein_coding",1,1,0.000247157686604053,0,0,0,0.0864144546254372
"ENSG00000011132","APBA3","protein_coding",36,36,0.00889767671774592,507.070384850328,6.19660535303012e-05,0.182192439281994,0.274300115795927
"ENSG00000011243","AKAP8L","protein_coding",2,2,0.000494315373208107,0,0,0.00871039477386348,0.223946168390613
"ENSG00000011258","MBTD1","protein_coding",6,6,0.00148294611962432,53.0445504063845,6.48225877151748e-06,3.82694919220535e-15,0.115519219736087
"ENSG00000011260","UTP18","protein_coding",13,13,0.00321304992585269,8.99082663342043,1.09871540735441e-06,0.0580362677042458,0.251608872227429
"ENSG00000011275","RNF216","protein_coding",1,1,0.000247157686604053,0,0,3.48373145132765e-05,0.190582110743019
"ENSG00000011295","TTC19","protein_coding",1,1,0.000247157686604053,0,0,0.00277012465367465,0.211891607471718
"ENSG00000011304","PTBP1","protein_coding",47,286,0.0706870983687593,126830.518090818,0.0154992026907887,0.31471903188295,0.270558989518947
"ENSG00000011332","DPF1","protein_coding",2,2,0.000494315373208107,2.47619047619048,3.02600499226812e-07,0,0.0801281413534433
"ENSG00000011566","MAP4K3","protein_coding",11,13,0.00321304992585269,677.611993624782,8.28069284348389e-05,0.00895616935166774,0.223971078976641
"ENSG00000011590","ZBTB32","protein_coding",8,8,0.00197726149283243,466.003104354226,5.69474656229902e-05,0.0217687304223116,0.251734700256298
"ENSG00000012048","BRCA1","protein_coding",2,2,0.000494315373208107,0,0,0.0102281961285229,0.233760956637836
"ENSG00000012174","MBTPS2","protein_coding",15,15,0.0037073652990608,15.3756948229594,1.87897214455998e-06,0.0744584222414252,0.25643148242486
"ENSG00000012963","UBR7","protein_coding",3,3,0.00074147305981216,494.347265889835,6.04112368931375e-05,3.40887128205676e-13,0.127565889508363
"ENSG00000013016","EHD3","protein_coding",6,6,0.00148294611962432,3492.57001180866,0.000426806192544534,3.36127881011366e-13,0.127464944766246
"ENSG00000013275","PSMC4","protein_coding",4,4,0.000988630746416213,86.7191560598918,1.05974318892553e-05,8.23418520832163e-15,0.114968452907757
"ENSG00000013306","SLC25A39","protein_coding",14,15,0.0037073652990608,164.438698710333,2.00950745915584e-05,0.0267856831255738,0.237357067075327
"ENSG00000013392","RWDD2A","protein_coding",46,58,0.0143351458230351,396.121547365069,4.84076564948176e-05,0.2059699543968,0.263616129876931
"ENSG00000013810","TACC3","protein_coding",6,6,0.00148294611962432,8.26745348849306,1.01031628100003e-06,0.013639368471579,0.228611978427477
"ENSG00000014164","ZC3H3","protein_coding",6,6,0.00148294611962432,0.620153176999153,7.57852284634189e-08,0.0160617856189768,0.226898805499211
"ENSG00000014216","CAPN1","protein_coding",4,4,0.000988630746416213,241.691655655699,2.95356986320722e-05,0,0.0957009434634853
