hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
HCCS	protein_coding	ENSG00000004961	No_kegg	NA	NA	ctrl_cluster7
RNF216	protein_coding	ENSG00000011275	No_kegg	NA	NA	ctrl_cluster7
NDUFS1	protein_coding	ENSG00000023228	kegg	Apoptosis,Mitochondrial energy production	apoptotic mitochondrial changes,aerobic respiration	ctrl_cluster7_nodes
MAT2B	protein_coding	ENSG00000038274	No_kegg	NA	NA	ctrl_cluster7
PSMA4	protein_coding	ENSG00000041357	kegg	NA	NA	ctrl_cluster7
DKK3	protein_coding	ENSG00000050165	No_kegg	NA	NA	ctrl_cluster7
PITHD1	protein_coding	ENSG00000057757	No_kegg	NA	NA	ctrl_cluster7
VPS35	protein_coding	ENSG00000069329	No_kegg	Apoptosis,intracellular trafficking	apoptotic mitochondrial changes,regulation of macroautophagy	ctrl_cluster7_nodes
DNAJA2	protein_coding	ENSG00000069345	No_kegg	NA	NA	ctrl_cluster7
CDC42	protein_coding	ENSG00000070831	No_kegg	NA	NA	ctrl_cluster7
CHFR	protein_coding	ENSG00000072609	No_kegg	NA	NA	ctrl_cluster7
ZNF586	protein_coding	ENSG00000083828	No_kegg	NA	NA	ctrl_cluster7
RRN3	protein_coding	ENSG00000085721	No_kegg	NA	NA	ctrl_cluster7
DDHD2	protein_coding	ENSG00000085788	No_kegg	NA	NA	ctrl_cluster7
ATP6V1D	protein_coding	ENSG00000100554	No_kegg	intracellular trafficking	regulation of macroautophagy	ctrl_cluster7_nodes
PGK1	protein_coding	ENSG00000102144	No_kegg	NA	NA	ctrl_cluster7
WDR59	protein_coding	ENSG00000103091	No_kegg	NA	NA	ctrl_cluster7
HSDL1	protein_coding	ENSG00000103160	No_kegg	NA	NA	ctrl_cluster7
BPNT2	protein_coding	ENSG00000104331	No_kegg	NA	NA	ctrl_cluster7
PRKAR1A	protein_coding	ENSG00000108946	No_kegg	NA	NA	ctrl_cluster7
TMEM33	protein_coding	ENSG00000109133	No_kegg	NA	NA	ctrl_cluster7
TPI1	protein_coding	ENSG00000111669	No_kegg	NA	NA	ctrl_cluster7
LPCAT3	protein_coding	ENSG00000111684	No_kegg	NA	NA	ctrl_cluster7
DSE	protein_coding	ENSG00000111817	No_kegg	NA	NA	ctrl_cluster7
PLEKHB2	protein_coding	ENSG00000115762	No_kegg	NA	NA	ctrl_cluster7
KBTBD7	protein_coding	ENSG00000120696	No_kegg	NA	NA	ctrl_cluster7
ARL1	protein_coding	ENSG00000120805	No_kegg	NA	NA	ctrl_cluster7
FAM199X	protein_coding	ENSG00000123575	No_kegg	NA	NA	ctrl_cluster7
ARMCX1	protein_coding	ENSG00000126947	No_kegg	NA	NA	ctrl_cluster7
ATP6V1E1	protein_coding	ENSG00000131100	No_kegg	intracellular trafficking	regulation of macroautophagy	ctrl_cluster7_nodes
PPT1	protein_coding	ENSG00000131238	No_kegg	NA	NA	ctrl_cluster7
RLIM	protein_coding	ENSG00000131263	No_kegg	NA	NA	ctrl_cluster7
PEX11B	protein_coding	ENSG00000131779	No_kegg	NA	NA	ctrl_cluster7
BEX2	protein_coding	ENSG00000133134	No_kegg	NA	NA	ctrl_cluster7
BEX1	protein_coding	ENSG00000133169	No_kegg	NA	NA	ctrl_cluster7
NARS1	protein_coding	ENSG00000134440	No_kegg	NA	NA	ctrl_cluster7
