hgnc_symbol	gene_biotype	ensembl_gene_id	kegg	GO_category	Description	Cluster
LASP1	protein_coding	ENSG00000002834	No_kegg	NA	NA	ctrl_cluster1
CYP26B1	protein_coding	ENSG00000003137	No_kegg	NA	NA	ctrl_cluster1
CAMKK1	protein_coding	ENSG00000004660	No_kegg	NA	NA	ctrl_cluster1
NDUFAB1	protein_coding	ENSG00000004779	kegg	Mitochondrial energy production	ATP metabolic process,nucleoside triphosphate metabolic process,proton transmembrane transport,purine nucleoside triphosphate metabolic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate metabolic process,ribonucleoside triphosphate metabolic process	ctrl_cluster1_nodes
RHBDD2	protein_coding	ENSG00000005486	No_kegg	NA	NA	ctrl_cluster1
PDK2	protein_coding	ENSG00000005882	No_kegg	Mitochondrial energy production	ATP metabolic process,nucleoside triphosphate metabolic process,proton transmembrane transport,purine nucleoside triphosphate metabolic process,purine nucleotide metabolic process,purine ribonucleoside triphosphate metabolic process,ribonucleoside triphosphate metabolic process	ctrl_cluster1_nodes
CX3CL1	protein_coding	ENSG00000006210	No_kegg	Synapse signaling	modulation of chemical synaptic transmission,neuromuscular synaptic transmission,neurotransmitter secretion,neurotransmitter transport,presynaptic endocytosis,regulation of neurotransmitter levels,regulation of neurotransmitter secretion,regulation of neurotransmitter transport,regulation of synaptic vesicle recycling,regulation of trans-synaptic signaling,signal release,signal release from synapse,synapse organization,synaptic vesicle cycle,synaptic vesicle endocytosis,synaptic vesicle exocytosis,synaptic vesicle maturation,synaptic vesicle membrane organization,synaptic vesicle recycling,vesicle-mediated transport in synapse	ctrl_cluster1_nodes
CDKL3	protein_coding	ENSG00000006837	No_kegg	NA	NA	ctrl_cluster1
SYN1	protein_coding	ENSG00000008056	No_kegg	intracellular trafficking,Synapse signaling	modulation of chemical synaptic transmission,neuromuscular synaptic transmission,neurotransmitter secretion,neurotransmitter transport,presynaptic endocytosis,regulation of neurotransmitter levels,regulation of neurotransmitter secretion,regulation of neurotransmitter transport,regulation of synaptic vesicle recycling,regulation of trans-synaptic signaling,signal release,signal release from synapse,synapse organization,synaptic vesicle cycle,synaptic vesicle endocytosis,synaptic vesicle exocytosis,synaptic vesicle maturation,synaptic vesicle membrane organization,synaptic vesicle recycling,vesicle-mediated transport in synapse,calcium-ion regulated exocytosis,endocytosis,establishment of protein localization to membrane,exocytic process,exocytosis,lysosomal transport,macroautophagy,membrane fusion,organelle fusion,organelle membrane fusion,protein-containing complex disassembly,regulated exocytosis,regulation of autophagy,regulation of macroautophagy,regulation of postsynaptic membrane neurotransmitter receptor levels,regulation of synaptic vesicle endocytosis,regulation of transporter activity,regulation of vesicle-mediated transport,SNARE complex assembly,vacuolar transport,vesicle fusion,vesicle organization	ctrl_cluster1_nodes
CAMK1G	protein_coding	ENSG00000008118	No_kegg	NA	NA	ctrl_cluster1
